customer_id,clv_12m,clv_tier,prob_alive,predicted_purchases_12m,frequency,monetary_value,expected_avg_value,segment,churn_risk_tier,return_probability
fadbb3709178fc513abc1b2670aa1ad2,0.0,Bronze,1.0,0.012905920333697802,0.0,0.0,0.0,Economy Shoppers,Low,0.8916018
4cb282e167ae9234755102258dd52ee8,0.0,Bronze,1.0,0.01278263570843464,0.0,0.0,0.0,Mainstream Buyers,Low,0.88053477
9b3932a6253894a02c1df9d19004239f,0.0,Bronze,1.0,0.005601190106184975,0.0,0.0,0.0,Mainstream Plus,High,0.4658311
914991f0c02ef0843c0e7010c819d642,0.0,Bronze,1.0,0.007808030930331436,0.0,0.0,0.0,Mainstream Plus,High,0.50409186
47227568b10f5f58a524a75507e6992c,0.0,Bronze,1.0,0.008314421097500966,0.0,0.0,0.0,Mainstream Plus,High,0.45946681
4a913a170c26e3c8052ed0202849b5a8,0.0,Bronze,1.0,0.011609614974665776,0.0,0.0,0.0,Mainstream Buyers,Low,0.88461906
d2509c13692836fc0449e88cf9eb4858,0.0,Bronze,1.0,0.012129354636638818,0.0,0.0,0.0,Mainstream Plus,Low,0.87681884
a81ebb9b32f102298c0c89635b4b3154,0.0,Bronze,1.0,0.010536380536203755,0.0,0.0,0.0,Mainstream Plus,Critical,0.3694352
3b37fb626fdf46cd99d37ec62afa88ff,0.0,Bronze,1.0,0.005557862618183852,0.0,0.0,0.0,Budget Buyers,Critical,0.2859952
c59e8ff99836e90d8b457d4122dc34e9,0.0,Bronze,1.0,0.010869978555224213,0.0,0.0,0.0,Mainstream Plus,High,0.4055845
2f29573c8cac5a7be11c5b649078f944,0.0,Bronze,1.0,0.006744701872118719,0.0,0.0,0.0,Economy Shoppers,High,0.48996347
9dec2d47e95677b616efe366f8bf9fb8,0.0,Bronze,1.0,0.008397156990486147,0.0,0.0,0.0,Mid-Tier Shoppers,High,0.43696603
40f0183f7439212e8ce53dc6103dfb2f,0.0,Bronze,1.0,0.011226832964093799,0.0,0.0,0.0,Economy Shoppers,Low,0.8845464
64eb9409c29c87a0a90ee1e08ce05065,0.0,Bronze,1.0,0.012239370866351787,0.0,0.0,0.0,Premium Buyers,Low,0.8776573
be22f11baf346059cbe6556ef9c69070,0.0,Bronze,1.0,0.007010335590873426,0.0,0.0,0.0,Mainstream Buyers,High,0.4622275
e36917a47d5bf39bd3f38bcafb3d438f,0.0,Bronze,1.0,0.007625609053752611,0.0,0.0,0.0,Budget Buyers,Low,0.82213074
e36917a47d5bf39bd3f38bcafb3d438f,0.0,Bronze,1.0,0.007625609053752611,0.0,0.0,0.0,Budget Buyers,Low,0.82213074
0e114b02a45c9876080f3a9a19f51c16,0.0,Bronze,1.0,0.008800905039794284,0.0,0.0,0.0,Economy Shoppers,High,0.4473157
4948d9d11ebcd4d241a0b291c15d5779,0.0,Bronze,1.0,0.009309079920140344,0.0,0.0,0.0,Mainstream Plus,High,0.41060084
455f2e2988eaf87d7e2ba33b0a57969f,0.0,Bronze,1.0,0.00708013805245775,0.0,0.0,0.0,Economy Shoppers,High,0.4185937
8866a052aebe7f7cee97bace65b379b2,0.0,Bronze,1.0,0.015186635228153176,0.0,0.0,0.0,Budget Buyers,Low,0.880359
30e8a49cee668a4435b2f91cc77c9d15,0.0,Bronze,1.0,0.01972313139730886,0.0,0.0,0.0,Mainstream Buyers,,
dd542dd7b8a8a90fed3b4f6b85ec45e8,0.0,Bronze,1.0,0.013336208844482214,0.0,0.0,0.0,Premium Buyers,Low,0.88605773
4b95f958af9c866353ae1108d8ebd023,0.0,Bronze,1.0,0.01731686480045136,0.0,0.0,0.0,Mid-Tier Shoppers,,
3529b35e86160baf0aa22a9770420250,0.0,Bronze,1.0,0.006671068900344539,0.0,0.0,0.0,Mainstream Buyers,High,0.43741643
bb923a84f897c7ffc3d03eb905f7eddf,0.0,Bronze,1.0,0.010672708704873902,0.0,0.0,0.0,Economy Shoppers,Medium,0.648116
5247e5c7e9037e74343f13bbd8800a6a,0.0,Bronze,1.0,0.007248706446115362,0.0,0.0,0.0,Mid-Tier Shoppers,High,0.4640173
064064dd94c43013786fc1e1a14d6374,0.0,Bronze,1.0,0.0052726562000326915,0.0,0.0,0.0,Mainstream Plus,High,0.42271182
728e136fca2819b62d610743ae2904b8,0.0,Bronze,1.0,0.005949476074748879,0.0,0.0,0.0,Premium Buyers,High,0.45151442
b821d548247d9c319bd595260efe677e,0.0,Bronze,1.0,0.006538602446545216,0.0,0.0,0.0,Mid-Tier Shoppers,Critical,0.35938516
5b331b0a1d63a261e9072be800107cfd,0.0,Bronze,1.0,0.006941932549401862,0.0,0.0,0.0,Mainstream Plus,High,0.4144104
187249e76bef7e36e09b6f14b8dce3c9,0.0,Bronze,1.0,0.007880618888777027,0.0,0.0,0.0,Mainstream Plus,High,0.44117066
d41fb6a790ec990b784d24823da41d30,0.0,Bronze,1.0,0.009543073888054174,0.0,0.0,0.0,Mainstream Buyers,High,0.5308164
5e51f41c2c9cc612e4d63c9fd18b28c6,0.0,Bronze,1.0,0.01789633842852514,0.0,0.0,0.0,Mid-Tier Shoppers,,
