customer_id,cluster,segment,spend_tier,recency_days,frequency,monetary,avg_order_value,category_diversity,avg_review_score,tenure_days,umap_x,umap_y
d73144ccd5680a3ed460ed34939c036e,1,Economy Shoppers,mid-low,262,1,99.9,99.9,1,5.0,262,11.925283,-4.946052
f66684cd226d7d5cbbc43491ac08390a,4,Mid-Tier Shoppers,high,259,1,379.0,379.0,1,5.0,259,3.875132,10.374398
1b606aeedafbe92f4c55f4fcad9dbcb4,0,Mainstream Buyers,high,171,1,330.0,330.0,1,1.0,171,8.438359,9.691787
e69e27216b375e2c7e1be6298b051bf2,2,Mainstream Plus,low,521,1,59.0,59.0,1,5.0,521,5.357467,-4.9792094
aee9d44d59c6cb00a9d64b390666224d,3,Budget Buyers,high,115,1,259.0,259.0,1,4.0,115,17.696802,10.875501
a1c4fffd5de4478c21989bd29f9a4aa4,1,Economy Shoppers,high,118,1,479.0,479.0,1,5.0,118,9.995152,-2.5235496
964774f215ba0b9375ea15b85fe87f3e,3,Budget Buyers,mid-low,295,1,89.0,89.0,1,5.0,295,10.426851,11.073857
b9313515b2c2bfce4c61816d2b0b9217,0,Mainstream Buyers,mid-low,397,1,109.9,109.9,1,1.0,397,7.430081,9.666793
f2dd9d0abca9dcb1e49685231aa0843f,3,Budget Buyers,low,127,1,49.9,49.9,1,5.0,127,17.284914,12.916162
104ac7ecfe1fa7f15b2a635338e104fc,1,Economy Shoppers,low,483,1,69.9,69.9,1,5.0,483,13.965806,-6.342804
1a594924ed06b136ec5af68177151e92,1,Economy Shoppers,high,215,1,199.99,199.99,1,5.0,215,19.425707,-2.4885268
aece34f7c1fd0c6130f0d8298c1b93bf,0,Mainstream Buyers,high,81,1,839.99,839.99,1,5.0,81,17.933006,16.837952
e92376215b80c2c97a67489e50927147,0,Mainstream Buyers,mid-low,163,1,95.0,95.0,1,5.0,163,5.840123,19.60894
8fee3d51a65bd588e2c8925f687ead80,0,Mainstream Buyers,low,383,1,13.9,13.9,1,2.0,383,17.393616,16.50184
9b98fa6c604ac83f3031c2894205632e,4,Mid-Tier Shoppers,low,232,1,53.99,53.99,1,5.0,232,-0.6661453,4.862808
35009b941a378f88e841eeb4535757d5,1,Economy Shoppers,low,256,1,21.99,21.99,1,3.0,256,18.462015,-2.3697681
